#Ind	Tok	NER	COMP	COREF	CLINK	REL	WIKI	MCBD
# 3-SPSP187205180201
25	高	B-pers.ind	B-comp.name	O	_	_	_	_
26	林	I-pers.ind	I-comp.name	O	_	_	_	_
27	司	I-pers.ind	I-comp.name	O	_	_	_	_
28	來	O	O	O	_	_	_	_
29	津	B-loc.adm.town	O	O	_	_	Q11736	191676
30	時	O	O	O	_	_	_	_
31	隨	O	O	O	_	_	_	_
32	帶	O	O	O	_	_	_	_
33	一	O	O	O	_	_	_	_
34	日	B-loc.adm.nat	O	O	_	_	Q17	_
35	本	I-loc.adm.nat	O	O	_	_	_	_
36	婦	O	O	O	_	_	_	_
37	人	O	O	O	_	_	_	_
38	由	O	O	O	_	_	_	_
39	日	B-loc.adm.nat	O	O	_	_	Q17	_
41	本	I-loc.adm.nat	O	O	_	_	_	_
42	同	O	O	O	_	_	_	_
43	來	O	O	O	_	_	_	_
44	該	O	O	O	_	_	_	_
45	婦	O	O	O	_	_	_	_
46	本	O	O	O	_	_	_	_
47	係	O	O	O	_	_	_	_
48	一	O	O	O	_	_	_	_
49	西	O	O	O	_	_	_	_
50	人	O	O	O	_	_	_	_
51	之	O	O	O	_	_	_	_
52	妻	O	O	O	_	_	_	_
53	後	O	O	O	_	_	_	_
54	因	O	O	O	_	_	_	_
55	拐	O	O	O	_	_	_	_
56	案	O	O	O	_	_	_	_
57	天	B-loc.adm.town	O	O	_	_	Q11736	191676
58	津	I-loc.adm.town	O	O	_	_	_	_
59	離	O	O	O	_	_	_	_
60	異	O	O	O	_	_	_	_
61	遂	O	O	O	_	_	_	_
62	與	O	O	O	_	_	_	_
63	高	B-pers.ind	B-comp.name	O	_	_	_	_
64	林	I-pers.ind	I-comp.name	O	_	_	_	_
65	司	I-pers.ind	I-comp.name	O	_	_	_	_
66	認	O	O	O	_	_	_	_
67	識	O	O	O	_	_	_	_
68	前	B-time.rel.month	O	O	_	_	_	_
69	月	I-time.rel.month	O	O	_	_	_	_
70	廿	B-time.date.day	O	O	_	_	_	_
71	七	I-time.date.day	O	O	_	_	_	_
72	號	I-time.date.day	O	O	_	_	_	_
73	高	B-pers.ind	B-comp.name	O	_	_	_	_
74	林	I-pers.ind	I-comp.name	O	_	_	_	_
75	司	I-pers.ind	I-comp.name	O	_	_	_	_
76	因	O	O	O	_	_	_	_
77	何	O	O	O	_	_	_	_
78	被	O	O	O	_	_	_	_
79	捕	O	O	O	_	_	_	_
80	之	O	O	O	_	_	_	_
82	實	O	O	O	_	_	_	_
83	情	O	O	O	_	_	_	_
84	不	O	O	O	_	_	_	_
85	得	O	O	O	_	_	_	_
86	而	O	O	O	_	_	_	_
87	知	O	O	O	_	_	_	_
88	惟	O	O	O	_	_	_	_
89	警	O	O	O	_	_	_	_
90	察	O	O	O	_	_	_	_
91	在	O	O	O	_	_	_	_
92	其	O	O	O	_	_	_	_
93	行	O	O	O	_	_	_	_
94	李	O	O	O	_	_	_	_
95	箱	O	O	O	_	_	_	_
96	内	O	O	O	_	_	_	_
97	搜	O	O	O	_	_	_	_
98	獲	O	O	O	_	_	_	_
99	炸	O	O	O	_	_	_	_
100	彈	O	O	O	_	_	_	_
101	三	O	O	O	_	_	_	_
102	枚	O	O	O	_	_	_	_
103	則	O	O	O	_	_	_	_
104	係	O	O	O	_	_	_	_
105	確	O	O	O	_	_	_	_
106	事	O	O	O	_	_	_	_
107	高	B-pers.ind	B-comp.name	O	_	_	_	_
108	林	I-pers.ind	I-comp.name	O	_	_	_	_
109	司	I-pers.ind	I-comp.name	O	_	_	_	_
110	之	O	O	O	_	_	_	_
111	妻	O	O	O	_	_	_	_
112	已	O	O	O	_	_	_	_
113	由	O	O	O	_	_	_	_
114	駐	B-org.ent	O	O	_	_	_	_
115	津	I-org.ent	O	O	_	_	_	_
116	日	B-loc.adm.nat	O	O	_	_	Q17	_
117	本	I-loc.adm.nat	O	O	_	_	_	_
118	領	O	O	O	_	_	_	_
119	事	O	O	O	_	_	_	_
120	提	O	O	O	_	_	_	_
121	審	O	O	O	_	_	_	_
123	惟	O	O	O	_	_	_	_
124	日	B-pers.ind	B-comp.func	O	_	_	_	_
125	本	I-pers.ind	I-comp.func	O	_	_	_	_
126	領	I-pers.ind	I-comp.func	O	_	_	_	_
127	事	I-pers.ind	I-comp.func	O	_	_	_	_
128	以	O	O	O	_	_	_	_
129	該	O	O	O	_	_	_	_
130	婦	O	O	O	_	_	_	_
131	患	O	O	O	_	_	_	_
132	病	O	O	O	_	_	_	_
133	甚	O	O	O	_	_	_	_
134	劇	O	O	O	_	_	_	_
135	未	O	O	O	_	_	_	_
136	嚴	O	O	O	_	_	_	_
137	行	O	O	O	_	_	_	_
138	審	O	O	O	_	_	_	_
139	問	O	O	O	_	_	_	_
140	故	O	O	O	_	_	_	_
141	未	O	O	O	_	_	_	_
142	取	O	O	O	_	_	_	_
143	有	O	O	O	_	_	_	_
144	與	O	O	O	_	_	_	_
145	此	O	O	O	_	_	_	_
146	案	O	O	O	_	_	_	_
147	關	O	O	O	_	_	_	_
148	涉	O	O	O	_	_	_	_
149	之	O	O	O	_	_	_	_
150	供	O	O	O	_	_	_	_
151	詞	O	O	O	_	_	_	_
152	日	B-pers.ind	B-comp.func	O	_	_	_	_
153	本	I-pers.ind	I-comp.func	O	_	_	_	_
154	領	I-pers.ind	I-comp.func	O	_	_	_	_
155	事	I-pers.ind	I-comp.func	O	_	_	_	_
156	准	O	O	O	_	_	_	_
157	天	B-loc.adm.town	O	O	_	_	Q11736	191676
158	津	I-loc.adm.town	O	O	_	_	_	_
159	警	O	O	O	_	_	_	_
160	察	O	O	O	_	_	_	_
161	搜	O	O	O	_	_	_	_
162	檢	O	O	O	_	_	_	_
164	該	O	O	O	_	_	_	_
165	婦	O	O	O	_	_	_	_
166	住	O	O	O	_	_	_	_
167	處	O	O	O	_	_	_	_
168	但	O	O	O	_	_	_	_
169	聞	O	O	O	_	_	_	_
170	查	O	O	O	_	_	_	_
171	有	O	O	O	_	_	_	_
172	違	O	O	O	_	_	_	_
173	法	O	O	O	_	_	_	_
174	文	O	O	O	_	_	_	_
175	件	O	O	O	_	_	_	_
176	數	O	O	O	_	_	_	_
177	紙	O	O	O	_	_	_	_
178	耳	O	O	O	_	_	_	_
179	高	B-pers.ind	B-comp.name	O	_	_	_	_
180	林	I-pers.ind	I-comp.name	O	_	_	_	_
181	司	I-pers.ind	I-comp.name	O	_	_	_	_
182	操	O	O	O	_	_	_	_
183	中	B-loc.adm.nat	O	O	_	_	Q148	_
184	英	B-loc.adm.nat	O	O	_	_	Q145	_
185	日	B-loc.adm.nat	O	O	_	_	Q17	_
186	三	O	O	O	_	_	_	_
187	國	O	O	O	_	_	_	_
188	語	O	O	O	_	_	_	_
189	言	O	O	O	_	_	_	_
190	頗	O	O	O	_	_	_	_
191	爲	O	O	O	_	_	_	_
192	純	O	O	O	_	_	_	_
193	熟	O	O	O	_	_	_	_
194	故	O	O	O	_	_	_	_
195	能	O	O	O	_	_	_	_
196	與	O	O	O	_	_	_	_
197	三	O	O	O	_	_	_	_
198	國	O	O	O	_	_	_	_
199	之	O	O	O	_	_	_	_
200	人	O	O	O	_	_	_	_
201	往	O	O	O	_	_	_	_
202	來	O	O	O	_	_	_	_
203	交	O	O	O	_	_	_	_
205	際	O	O	O	_	_	_	_
206	此	O	O	O	_	_	_	_
207	案	O	O	O	_	_	_	_
208	何	O	O	O	_	_	_	_
209	日	O	O	O	_	_	_	_
210	審	O	O	O	_	_	_	_
211	判	O	O	O	_	_	_	_
212	尙	O	O	O	_	_	_	_
213	無	O	O	O	_	_	_	_
214	所	O	O	O	_	_	_	_
215	聞	O	O	O	_	_	_	_
216	大	O	O	O	_	_	_	_
217	約	O	O	O	_	_	_	_
218	必	O	O	O	_	_	_	_
219	俟	O	O	O	_	_	_	_
220	接	O	O	O	_	_	_	_
221	得	O	O	O	_	_	_	_
222	英	B-loc.adm.nat	B-comp.func	O	_	_	Q145	_
223	公	O	I-comp.func	O	_	_	_	_
224	使	O	I-comp.func	O	_	_	_	_
225	朱	B-pers.ind	B-comp.name	O	_	[222]	_	_
226	邇	I-pers.ind	I-comp.name	O	_	_	_	_
227	典	I-pers.ind	I-comp.name	O	_	_	_	_
228	訓	O	O	O	_	_	_	_
229	條	O	O	O	_	_	_	_
230	始	O	O	O	_	_	_	_
231	得	O	O	O	_	_	_	_
232	提	O	O	O	_	_	_	_
233	問	O	O	O	_	_	_	_
234	高	B-pers.ind	O	O	_	_	_	_
235	林	I-pers.ind	O	O	_	_	_	_
236	司	I-pers.ind	O	O	_	_	_	_
237	現	O	O	O	_	_	_	_
238	仍	O	O	O	_	_	_	_
239	拘	O	O	O	_	_	_	_
240	禁	O	O	O	_	_	_	_
241	於	O	O	O	_	_	_	_
242	天	B-loc.adm.town	O	O	_	_	Q11736	191676
243	津	I-loc.adm.town	O	O	_	_	_	_
244	英	B-org.ent	O	O	_	[250]	_	_
246	領	B-loc.fac	O	O	_	_	_	_
247	事	I-loc.fac	O	O	_	_	_	_
248	署	I-loc.fac	O	O	_	_	_	_
249	内	O	O	O	_	_	_	_
250	關	O	B-comp.func	O	_	_	_	_
251	董	O	I-comp.func	O	_	_	_	_
252	二	O	O	O	_	_	_	_
253	人	O	O	O	_	_	_	_
254	由	O	O	O	_	_	_	_
255	華	O	O	O	_	_	_	_
256	官	O	O	O	_	_	_	_
257	管	O	O	O	_	_	_	_
258	押	O	O	O	_	_	_	_
259	傳	O	O	O	_	_	_	_
260	聞	O	O	O	_	_	_	_
261	英	B-pers.ind	B-comp.func	O	_	_	_	_
262	領	I-pers.ind	I-comp.func	O	_	_	_	_
263	事	I-pers.ind	I-comp.func	O	_	_	_	_
264	提	O	O	O	_	_	_	_
265	審	O	O	O	_	_	_	_
266	高	B-pers.ind	B-comp.name	O	_	_	_	_
267	林	I-pers.ind	I-comp.name	O	_	_	_	_
268	司	I-pers.ind	I-comp.name	O	_	_	_	_
269	時	O	O	O	_	_	_	_
270	高	B-pers.ind	B-comp.name	O	_	_	_	_
271	林	I-pers.ind	I-comp.name	O	_	_	_	_
272	司	I-pers.ind	I-comp.name	O	_	_	_	_
273	自	O	O	O	_	_	_	_
274	供	O	O	O	_	_	_	_
275	受	O	O	O	_	_	_	_
276	中	B-loc.adm.nat	O	O	_	_	Q148	_
277	國	I-loc.adm.nat	O	O	_	_	_	_
278	礦	O	O	O	_	_	_	_
279	主	O	O	O	_	_	_	_
280	雇	O	O	O	_	_	_	_
281	用	O	O	O	_	_	_	_
282	所	O	O	O	_	_	_	_
283	有	O	O	O	_	_	_	_
284	炸	O	O	O	_	_	_	_
285	彈	O	O	O	_	_	_	_
287	將	O	O	O	_	_	_	_
288	以	O	O	O	_	_	_	_
289	之	O	O	O	_	_	_	_
290	爲	O	O	O	_	_	_	_
291	開	O	O	O	_	_	_	_
292	礦	O	O	O	_	_	_	_
293	之	O	O	O	_	_	_	_
294	用	O	O	O	_	_	_	_
295	自	O	O	O	_	_	_	_
296	高	B-pers.ind	B-comp.name	O	_	_	_	_
297	林	I-pers.ind	I-comp.name	O	_	_	_	_
298	司	I-pers.ind	I-comp.name	O	_	_	_	_
299	及	O	O	O	_	_	_	_
300	其	O	O	O	_	_	_	_
301	同	O	O	O	_	_	_	_
302	黨	O	O	O	_	_	_	_
303	被	O	O	O	_	_	_	_
304	捕	O	O	O	_	_	_	_
305	後	O	O	O	_	_	_	_
306	衆	O	O	O	_	_	_	_
307	皆	O	O	O	_	_	_	_
308	驚	O	O	O	_	_	_	_
309	恐	O	O	O	_	_	_	_
310	而	O	O	O	_	_	_	_
311	滿	O	O	O	_	_	_	_
312	人	O	O	O	_	_	_	_
313	尤	O	O	O	_	_	_	_
314	甚	O	O	O	_	_	_	_
315	直	B-loc.adm.reg	O	O	_	_	_	_
316	隷	I-loc.adm.reg	O	O	_	_	_	_
317	全	O	O	O	_	_	_	_
318	省	O	O	O	_	_	_	_
319	州	O	O	O	_	_	_	_
320	縣	O	O	O	_	_	_	_
321	已	O	O	O	_	_	_	_
322	奉	O	O	O	_	_	_	_
323	諭	O	O	O	_	_	_	_
324	預	O	O	O	_	_	_	_
325	防	O	O	O	_	_	_	_
326	革	B-org.ent	O	O	_	_	_	_
328	命	I-org.ent	O	O	_	_	_	_
329	黨	I-org.ent	O	O	_	_	_	_
330	起	O	O	O	_	_	_	_
331	事	O	O	O	_	_	_	_
332	矣	O	O	O	_	_	_	_

# 3-SPSP191703191004
0	號	O	O	O	_	_	_	_
1	日	O	O	O	_	_	_	_
2	前	O	O	O	_	_	_	_
3	抵	O	O	O	_	_	_	_
4	滬	B-loc.adm.town	O	O	_	_	Q8686	191730
5	以	O	O	O	_	_	_	_
6	故	O	O	O	_	_	_	_
7	近	O	O	O	_	_	_	_
8	日	O	O	O	_	_	_	_
9	做	O	O	O	_	_	_	_
10	絲	O	O	O	_	_	_	_
11	綢	O	O	O	_	_	_	_
12	出	O	O	O	_	_	_	_
13	口	O	O	O	_	_	_	_
14	之	O	O	O	_	_	_	_
15	家	O	O	O	_	_	_	_
16	莫	O	O	O	_	_	_	_
17	不	O	O	O	_	_	_	_
18	忙	O	O	O	_	_	_	_
19	碌	O	O	O	_	_	_	_
20	異	O	O	O	_	_	_	_
21	常	O	O	O	_	_	_	_
22	銷	O	O	O	_	_	_	_
23	路	O	O	O	_	_	_	_
24	頗	O	O	O	_	_	_	_
25	旺	O	O	O	_	_	_	_
26	茲	O	O	O	_	_	_	_
27	將	O	O	O	_	_	_	_
28	各	O	O	O	_	_	_	_
29	洋	O	O	O	_	_	_	_
30	行	O	O	O	_	_	_	_
31	裝	O	O	O	_	_	_	_
32	運	O	O	O	_	_	_	_
33	各	O	O	O	_	_	_	_
34	貨	O	O	O	_	_	_	_
35	調	O	O	O	_	_	_	_
36	查	O	O	O	_	_	_	_
37	錄	O	O	O	_	_	_	_
38	後	O	O	O	_	_	_	_
39	怡	B-org.busi	B-comp.name	O	_	_	Q1683452	119175
41	和	I-org.busi	I-comp.name	O	_	_	_	_
42	洋	I-org.busi	O	O	_	_	_	_
43	行	I-org.busi	O	O	_	_	_	_
44	白	O	O	O	_	_	_	_
45	絲	O	O	O	_	_	_	_
46	二	O	O	O	_	_	_	_
47	十	O	O	O	_	_	_	_
48	五	O	O	O	_	_	_	_
49	包	O	O	O	_	_	_	_
50	大	O	O	O	_	_	_	_
51	豆	O	O	O	_	_	_	_
52	五	O	O	O	_	_	_	_
53	百	O	O	O	_	_	_	_
54	五	O	O	O	_	_	_	_
55	十	O	O	O	_	_	_	_
56	四	O	O	O	_	_	_	_
57	包	O	O	O	_	_	_	_
58	三	B-org.busi	B-comp.name	O	_	_	_	_
59	井	I-org.busi	I-comp.name	O	_	_	_	_
60	洋	I-org.busi	O	O	_	_	_	_
61	行	I-org.busi	O	O	_	_	_	_
62	白	O	O	O	_	_	_	_
63	絲	O	O	O	_	_	_	_
64	五	O	O	O	_	_	_	_
65	十	O	O	O	_	_	_	_
66	包	O	O	O	_	_	_	_
67	黄	O	O	O	_	_	_	_
68	絲	O	O	O	_	_	_	_
69	二	O	O	O	_	_	_	_
70	十	O	O	O	_	_	_	_
71	包	O	O	O	_	_	_	_
72	三	B-org.busi	B-comp.name	O	_	_	_	_
73	星	I-org.busi	I-comp.name	O	_	_	_	_
74	洋	I-org.busi	O	O	_	_	_	_
75	行	I-org.busi	O	O	_	_	_	_
76	白	O	O	O	_	_	_	_
77	絲	O	O	O	_	_	_	_
78	三	O	O	O	_	_	_	_
79	十	O	O	O	_	_	_	_
80	包	O	O	O	_	_	_	_
82	黄	O	O	O	_	_	_	_
83	絲	O	O	O	_	_	_	_
84	一	O	O	O	_	_	_	_
85	百	O	O	O	_	_	_	_
86	九	O	O	O	_	_	_	_
87	十	O	O	O	_	_	_	_
88	包	O	O	O	_	_	_	_
89	泰	B-org.busi	B-comp.name	O	_	_	_	_
90	和	I-org.busi	I-comp.name	O	_	_	_	_
91	洋	I-org.busi	O	O	_	_	_	_
92	行	I-org.busi	O	O	_	_	_	_
93	白	O	O	O	_	_	_	_
94	絲	O	O	O	_	_	_	_
95	三	O	O	O	_	_	_	_
96	十	O	O	O	_	_	_	_
97	包	O	O	O	_	_	_	_
98	黄	O	O	O	_	_	_	_
99	絲	O	O	O	_	_	_	_
100	二	O	O	O	_	_	_	_
101	十	O	O	O	_	_	_	_
102	包	O	B-comp.name	O	_	_	_	_
103	畢	B-org.busi	I-comp.name	O	_	_	_	_
104	爹	I-org.busi	I-comp.name	O	_	_	_	_
105	釐	I-org.busi	I-comp.name	O	_	_	_	_
106	洋	I-org.busi	O	O	_	_	_	_
107	行	I-org.busi	O	O	_	_	_	_
108	黄	O	O	O	_	_	_	_
109	絲	O	O	O	_	_	_	_
110	十	O	O	O	_	_	_	_
111	五	O	O	O	_	_	_	_
112	包	O	O	O	_	_	_	_
113	山	B-org.adm	O	O	_	_	Q43407	_
114	東	I-org.adm	O	O	_	_	_	_
115	府	I-org.adm	O	O	_	_	_	_
116	綢	O	O	O	_	_	_	_
117	一	O	O	O	_	_	_	_
118	件	O	O	O	_	_	_	_
119	高	B-org.busi	B-comp.name	O	_	_	_	_
120	倍	I-org.busi	I-comp.name	O	_	_	_	_
121	洋	I-org.busi	O	O	_	_	_	_
123	行	I-org.busi	O	O	_	_	_	_
124	黄	O	O	O	_	_	_	_
125	絲	O	O	O	_	_	_	_
126	一	O	O	O	_	_	_	_
127	包	O	O	O	_	_	_	_
128	山	B-org.adm	O	O	_	_	_	_
129	東	I-org.adm	O	O	_	_	_	_
130	府	I-org.adm	O	O	_	_	_	_
131	綢	O	O	O	_	_	_	_
132	十	O	O	O	_	_	_	_
133	五	O	O	O	_	_	_	_
134	件	O	O	O	_	_	_	_
135	河	B-org.adm	O	O	_	_	_	_
136	南	I-org.adm	O	O	_	_	_	_
137	府	I-org.adm	O	O	_	_	_	_
138	綢	O	O	O	_	_	_	_
139	五	O	O	O	_	_	_	_
140	十	O	O	O	_	_	_	_
141	四	O	O	O	_	_	_	_
142	件	O	O	O	_	_	_	_
143	中	B-org.busi	B-comp.name	O	_	_	_	120370
144	和	I-org.busi	I-comp.name	O	_	_	_	_
145	洋	I-org.busi	O	O	_	_	_	_
146	行	I-org.busi	O	O	_	_	_	_
147	湖	O	O	O	_	_	_	_
148	絲	O	O	O	_	_	_	_
149	十	O	O	O	_	_	_	_
150	五	O	O	O	_	_	_	_
151	包	O	B-comp.name	O	_	_	_	_
152	伯	B-org.busi	I-comp.name	O	_	_	_	_
153	興	I-org.busi	I-comp.name	O	_	_	_	_
154	洋	I-org.busi	O	O	_	_	_	_
155	行	I-org.busi	O	O	_	_	_	_
156	湖	O	O	O	_	_	_	_
157	絲	O	O	O	_	_	_	_
158	五	O	O	O	_	_	_	_
159	包	O	O	O	_	_	_	_
160	老	B-org.busi	B-comp.name	O	_	_	_	119307
161	沙	I-org.busi	I-comp.name	O	_	_	_	_
162	遜	I-org.busi	I-comp.name	O	_	_	_	_
164	洋	I-org.busi	O	O	_	_	_	_
165	行	I-org.busi	O	O	_	_	_	_
166	白	O	O	O	_	_	_	_
167	絲	O	O	O	_	_	_	_
168	十	O	O	O	_	_	_	_
169	包	O	O	O	_	_	_	_
170	黄	O	O	O	_	_	_	_
171	絲	O	O	O	_	_	_	_
172	二	O	O	O	_	_	_	_
173	十	O	O	O	_	_	_	_
174	一	O	O	O	_	_	_	_
175	包	O	O	O	_	_	_	_
176	豆	O	O	O	_	_	_	_
177	六	O	O	O	_	_	_	_
178	百	O	O	O	_	_	_	_
179	包	O	O	O	_	_	_	_
180	祥	B-org.busi	B-comp.name	O	_	_	_	_
181	茂	I-org.busi	I-comp.name	O	_	_	_	_
182	洋	I-org.busi	O	O	_	_	_	_
183	行	I-org.busi	O	O	_	_	_	_
184	絲	O	O	O	_	_	_	_
185	頭	O	O	O	_	_	_	_
186	下	O	O	O	_	_	_	_
187	脚	O	O	O	_	_	_	_
188	五	O	O	O	_	_	_	_
189	十	O	O	O	_	_	_	_
190	六	O	O	O	_	_	_	_
191	包	O	O	O	_	_	_	_
192	平	B-org.busi	B-comp.name	O	_	_	_	_
193	和	I-org.busi	I-comp.name	O	_	_	_	_
194	洋	I-org.busi	O	O	_	_	_	_
195	行	I-org.busi	O	O	_	_	_	_
196	絲	O	O	O	_	_	_	_
197	頭	O	O	O	_	_	_	_
198	下	O	O	O	_	_	_	_
199	脚	O	O	O	_	_	_	_
200	十	O	O	O	_	_	_	_
201	九	O	O	O	_	_	_	_
202	包	O	O	O	_	_	_	_
203	立	B-org.busi	B-comp.name	O	_	_	_	314923
205	興	I-org.busi	I-comp.name	O	_	_	_	_
206	洋	I-org.busi	O	O	_	_	_	_
207	行	I-org.busi	O	O	_	_	_	_
208	煙	O	O	O	_	_	_	_
209	葉	O	O	O	_	_	_	_
210	四	O	O	O	_	_	_	_
211	百	O	O	O	_	_	_	_
212	二	O	O	O	_	_	_	_
213	十	O	O	O	_	_	_	_
214	件	O	O	O	_	_	_	_
215	百	B-org.busi	B-comp.name	O	_	_	_	_
216	多	I-org.busi	I-comp.name	O	_	_	_	_
217	洋	I-org.busi	O	O	_	_	_	_
218	行	I-org.busi	O	O	_	_	_	_
219	烟	O	O	O	_	_	_	_
220	葉	O	O	O	_	_	_	_
221	二	O	O	O	_	_	_	_
222	百	O	O	O	_	_	_	_
223	件	O	O	O	_	_	_	_
224	庚	B-org.busi	B-comp.name	O	_	_	_	119448
225	興	I-org.busi	I-comp.name	O	_	_	_	_
226	洋	I-org.busi	O	O	_	_	_	_
227	行	I-org.busi	O	O	_	_	_	_
228	黄	O	O	O	_	_	_	_
229	絲	O	O	O	_	_	_	_
230	二	O	O	O	_	_	_	_
231	十	O	O	O	_	_	_	_
232	五	O	O	O	_	_	_	_
233	包	O	O	O	_	_	_	_
234	有	B-org.busi	B-comp.name	O	_	_	_	_
235	餘	I-org.busi	I-comp.name	O	_	_	_	_
236	洋	I-org.busi	O	O	_	_	_	_
237	行	I-org.busi	O	O	_	_	_	_
238	黄	O	O	O	_	_	_	_
239	絲	O	O	O	_	_	_	_
240	七	O	O	O	_	_	_	_
241	十	O	O	O	_	_	_	_
242	五	O	O	O	_	_	_	_
243	包	O	O	O	_	_	_	_
244	灰	O	O	O	_	_	_	_
246	絲	O	O	O	_	_	_	_
247	十	O	O	O	_	_	_	_
248	五	O	O	O	_	_	_	_
249	包	O	O	O	_	_	_	_
250	克	B-org.busi	B-comp.name	O	_	_	_	_
251	昌	I-org.busi	I-comp.name	O	_	_	_	_
252	洋	I-org.busi	O	O	_	_	_	_
253	行	I-org.busi	O	O	_	_	_	_
254	湖	O	O	O	_	_	_	_
255	絲	O	O	O	_	_	_	_
256	十	O	O	O	_	_	_	_
257	包	O	O	O	_	_	_	_
258	黄	O	O	O	_	_	_	_
259	絲	O	O	O	_	_	_	_
260	二	O	O	O	_	_	_	_
261	十	O	O	O	_	_	_	_
262	五	O	O	O	_	_	_	_
263	包	O	O	O	_	_	_	_
264	筆	B-org.busi	B-comp.name	O	_	_	_	_
265	喇	I-org.busi	I-comp.name	O	_	_	_	_
266	洋	I-org.busi	O	O	_	_	_	_
267	行	I-org.busi	O	O	_	_	_	_
268	絲	O	O	O	_	_	_	_
269	頭	O	O	O	_	_	_	_
270	下	O	O	O	_	_	_	_
271	脚	O	O	O	_	_	_	_
272	七	O	O	O	_	_	_	_
273	十	O	O	O	_	_	_	_
274	三	O	O	O	_	_	_	_
275	包	O	O	O	_	_	_	_
276	隆	B-org.busi	B-comp.name	O	_	_	_	_
277	茂	I-org.busi	I-comp.name	O	_	_	_	_
278	洋	I-org.busi	O	O	_	_	_	_
279	行	I-org.busi	O	O	_	_	_	_
280	苧	O	O	O	_	_	_	_
281	麻	O	O	O	_	_	_	_
282	一	O	O	O	_	_	_	_
283	百	O	O	O	_	_	_	_
284	二	O	O	O	_	_	_	_
285	十	O	O	O	_	_	_	_
287	六	O	O	O	_	_	_	_
288	件	O	O	O	_	_	_	_
289	麂	O	O	O	_	_	_	_
290	皮	O	O	O	_	_	_	_
291	四	O	O	O	_	_	_	_
292	十	O	O	O	_	_	_	_
293	四	O	O	O	_	_	_	_
294	件	O	O	O	_	_	_	_
295	福	B-org.busi	B-comp.name	O	_	_	_	_
296	興	I-org.busi	I-comp.name	O	_	_	_	_
297	洋	I-org.busi	O	O	_	_	_	_
298	行	I-org.busi	O	O	_	_	_	_
299	羊	O	O	O	_	_	_	_
300	皮	O	O	O	_	_	_	_
301	一	O	O	O	_	_	_	_
302	件	O	O	O	_	_	_	_
303	兎	O	O	O	_	_	_	_
304	皮	O	O	O	_	_	_	_
305	三	O	O	O	_	_	_	_
306	件	O	O	O	_	_	_	_
307	犴	O	O	O	_	_	_	_
308	皮	O	O	O	_	_	_	_
309	六	O	O	O	_	_	_	_
310	件	O	O	O	_	_	_	_
311	田	O	O	O	_	_	_	_
312	鼠	O	O	O	_	_	_	_
313	皮	O	O	O	_	_	_	_
314	三	O	O	O	_	_	_	_
315	件	O	O	O	_	_	_	_
316	森	B-org.busi	B-comp.name	O	_	_	_	_
317	茂	I-org.busi	I-comp.name	O	_	_	_	_
318	銀	I-org.busi	O	O	_	_	_	_
319	行	I-org.busi	O	O	_	_	_	_
320	河	B-loc.adm.reg	O	O	_	_	Q24841395	_
321	南	I-loc.adm.reg	O	O	_	_	_	_
322	府	I-loc.adm.reg	O	O	_	_	_	_
323	綢	O	O	O	_	_	_	_
324	二	O	O	O	_	_	_	_
325	十	O	O	O	_	_	_	_
326	一	O	O	O	_	_	_	_
328	件	O	O	O	_	_	_	_
329	祥	B-org.busi	B-comp.name	O	_	_	_	_
330	利	I-org.busi	I-comp.name	O	_	_	_	_
331	洋	I-org.busi	O	O	_	_	_	_
332	行	I-org.busi	O	O	_	_	_	_
333	黄	O	O	O	_	_	_	_
334	絲	O	O	O	_	_	_	_
335	十	O	O	O	_	_	_	_
336	七	O	O	O	_	_	_	_
337	包	O	O	O	_	_	_	_
338	山	B-org.adm	O	O	_	_	Q43407	_
339	東	I-org.adm	O	O	_	_	_	_
340	府	I-org.adm	O	O	_	_	_	_
341	綢	O	O	O	_	_	_	_
342	二	O	O	O	_	_	_	_
343	件	O	O	O	_	_	_	_
344	永	B-org.busi	B-comp.name	O	_	_	_	_
345	興	I-org.busi	I-comp.name	O	_	_	_	_
346	洋	I-org.busi	O	O	_	_	_	_
347	行	I-org.busi	O	O	_	_	_	_
348	魚	O	O	O	_	_	_	_
349	肚	O	O	O	_	_	_	_
350	九	O	O	O	_	_	_	_
351	件	O	O	O	_	_	_	_
352	美	B-org.busi	B-comp.name	O	_	_	_	_
353	大	I-org.busi	I-comp.name	O	_	_	_	_
354	洋	I-org.busi	O	O	_	_	_	_
355	行	I-org.busi	O	O	_	_	_	_
356	白	O	O	O	_	_	_	_
357	絲	O	O	O	_	_	_	_
358	二	O	O	O	_	_	_	_
359	十	O	O	O	_	_	_	_
360	包	O	O	O	_	_	_	_
361	黄	O	O	O	_	_	_	_
362	絲	O	O	O	_	_	_	_
363	三	O	O	O	_	_	_	_
364	十	O	O	O	_	_	_	_
365	包	O	O	O	_	_	_	_
366	卜	B-org.busi	B-comp.name	O	_	_	_	_
367	和	I-org.busi	I-comp.name	O	_	_	_	_
369	莫	I-org.busi	I-comp.name	O	_	_	_	_
370	而	I-org.busi	I-comp.name	O	_	_	_	_
371	洋	I-org.busi	O	O	_	_	_	_
372	行	I-org.busi	O	O	_	_	_	_
373	河	B-org.adm	O	O	_	_	_	_
374	南	I-org.adm	O	O	_	_	_	_
375	府	I-org.adm	O	O	_	_	_	_
376	綢	O	O	O	_	_	_	_
377	十	O	O	O	_	_	_	_
378	七	O	O	O	_	_	_	_
